LogisticRegression,GRAPE,OGRE,n_genes
0.6193265007320644,0.6105417013168335,0.6412884593009949,100
0.5563689604685212,0.5607613325119019,0.6237188577651978,200
0.5724743777452416,0.6017569303512573,0.6046851873397827,300
0.5885797950219619,0.2503660321235657,0.6442167162895203,400
0.595900439238653,0.569546103477478,0.5973645448684692,500
0.582723279648609,0.6076134443283081,0.6134699583053589,600
0.5944363103953147,0.5754026174545288,0.5959004163742065,700
0.6017569546120058,0.5446559190750122,0.5915080308914185,800
0.5915080527086384,0.5197657346725464,0.5944362878799438,900
0.6149341142020498,0.5490483045578003,0.5549048185348511,1000
0.6002928257686676,0.35431918501853943,0.6002928018569946,1100
